TAIL_KEY,TAIL_NUM,MODEL_STD,MAX_SEATS,EXPECTED_PASSENGERS,AIRLINE_NAME,CONCOURSE,GATE_COUNT,A_GATES,B_GATES,C_GATES,D_GATES,E_GATES,NUM_DOORS_USED,SEAT_LAYOUT,AVG_ROW_NUM
151AN,N151AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
151UW,N151UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
152AA,N152AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
152UW,N152UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
153AN,N153AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
153PQ,N153PQ,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
153UW,N153UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
154AA,N154AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
154SY,N154SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
154UW,N154UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
155NN,N155NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
155UW,N155UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
156AN,N156AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
156SY,N156SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
156UW,N156UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
15710,N15710,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
15712,N15712,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
15751,N15751,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
157AA,N157AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
157UW,N157UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
158AN,N158AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
159AN,N159AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
160AN,N160AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
160SY,N160SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
161AA,N161AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
161SY,N161SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
161UW,N161UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
16217,N16217,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
16234,N16234,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
162AA,N162AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
162UW,N162UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
163AA,N163AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
163SY,N163SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
163US,N163US,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
164NN,N164NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
165NN,N165NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
165SY,N165SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
165US,N165US,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
166NN,N166NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
166PQ,N166PQ,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
166SY,N166SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
16701,N16701,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
16703,N16703,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
16709,N16709,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
16713,N16713,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
16732,N16732,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
167AN,N167AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
167US,N167US,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
168SY,N168SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
169UW,N169UW,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
170US,N170US,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
171US,N171US,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
17229,N17229,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17233,N17233,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17244,N17244,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17245,N17245,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17254,N17254,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17262,N17262,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17264,N17264,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17265,N17265,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17272,N17272,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
