TAIL_NUM,tail_raw,tail_display,MFR,MODEL,TYPE-ACFT,TYPE-ENG,YEAR MFR,AIR WORTH DATE,STATUS CODE,MODE S CODE,MODE S CODE HEX,HAS_MODEL,FOUND_IN_MASTER,FOUND_IN_ACFTREF
N814NN,N814NN,N814NN,BOEING,737-823,5,5,2009,20091106,V,52614561,AB1971,True,True,True
N963NN,N963NN,N963NN,BOEING,737-823,5,5,2014,20141221,V,53264204,AD6884,True,True,True
N26232,N26232,N26232,BOEING,737-824,5,5,1999,19990624,V,50504507,A28947,True,True,True
N742SK,N742SK,N742SK,BOMBARDIER INC,CL-600-2C10,5,5,2005,20050202,V,52375622,A9FB92,True,True,True
N969WN,N969WN,N969WN,BOEING,737-7H4,5,5,2011,20111218,V,53277626,AD7F96,True,True,True
N414YX,N414YX,N414YX,EMBRAER,ERJ 170-200 LR,5,5,2013,20131122,V,51162470,A4E538,True,True,True
N943WN,N943WN,N943WN,BOEING,737-7H4,5,5,2010,20100303,V,53215116,AD1A4E,True,True,True
N8537Z,N8537Z,N8537Z,BOEING,737-800,5,5,2017,20170618,V,52732742,ABB5E2,True,True,True
N33284,N33284,N33284,BOEING,737-824,5,5,2004,20040326,V,50720312,A3A0CA,True,True,True
N549UW,N549UW,N549UW,AIRBUS,A321-231,5,5,2011,20111129,V,51575462,A6FB32,True,True,True
N863NN,N863NN,N863NN,BOEING,737-823,5,5,2010,20101127,V,52755465,ABDB35,True,True,True
N859NN,N859NN,N859NN,BOEING,737-823,5,5,2010,20101108,V,52745000,ABCA00,True,True,True
N7866A,N7866A,N7866A,BOEING,737-7Q8,5,5,2002,20180116,V,52524773,AAA9FB,True,True,True
N705UW,N705UW,N705UW,AIRBUS INDUSTRIE,A319-112,5,5,,,V,52264370,A968F8,True,True,True
N373FR,N373FR,N373FR,AIRBUS,A320-251N,5,5,2021,20210316,V,51037575,A43F7D,True,True,True
N827DN,N827DN,N827DN,BOEING,737-932ER,5,5,2014,20140831,V,52645464,AB4B34,True,True,True
N562NN,N562NN,N562NN,BOMBARDIER INC,CL-600-2D24,5,5,2014,20141219,V,51627621,A72F91,True,True,True
N815NN,N815NN,N815NN,BOEING,737-823,5,5,2009,20091117,V,52616450,AB1D28,True,True,True
N7838A,N7838A,N7838A,,,,,,,,,,False,False,False
N551AS,N551AS,N551AS,BOEING,737-890,5,5,2006,20060202,V,51601463,A70333,True,True,True
N382FR,N382FR,N382FR,AIRBUS,A320-251N,5,5,2021,20210720,V,51061505,A46345,True,True,True
N612NK,N612NK,N612NK,AIRBUS,A320-232,5,5,2012,20120229,V,51773542,A7F762,True,True,True
N407YX,N407YX,N407YX,EMBRAER S A,ERJ 170-200 LR,5,5,2013,20130918,V,51144336,A4C8DE,True,True,True
N887DN,N887DN,N887DN,BOEING,737-900ER,5,5,2017,20171115,V,53034056,AC382E,True,True,True
N320US,N320US,N320US,,,,,,,,,,False,False,False
N698NK,N698NK,N698NK,AIRBUS,A320-232,5,5,2010,20190822,V,52244644,A949A4,True,True,True
N422WN,N422WN,N422WN,BOEING,737-7H4,5,5,2002,20020321,V,51202416,A5050E,True,True,True
N915DU,N915DU,N915DU,BOEING,737-900ER,5,5,2019,20190126,V,53124634,ACA99C,True,True,True
N616NK,N616NK,N616NK,AIRBUS,A320-232,5,5,2012,20121116,V,52003076,A8063E,True,True,True
N77525,N77525,N77525,BOEING,737-824,5,5,2010,20100825,V,52477126,AA7E56,True,True,True
N299JJ,N299JJ,N299JJ,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,5,5,2020,20201120,V,50613672,A317BA,True,True,True
N865NN,N865NN,N865NN,BOEING,737-823,5,5,2010,20101210,V,52761243,ABE2A3,True,True,True
N869DN,N869DN,N869DN,BOEING,737-900ER,5,5,2016,20161222,V,52770236,ABF09E,True,True,True
N427YX,N427YX,N427YX,EMBRAER S A,ERJ 170-200 LR,5,5,2014,20140521,V,51213734,A517DC,True,True,True
N325PQ,N325PQ,N325PQ,BOMBARDIER INC,CL-600-2D24,5,5,2014,20140814,V,50701067,A38237,True,True,True
N879DN,N879DN,N879DN,BOEING,737-900ER,5,5,2017,20170601,V,53014035,AC181D,True,True,True
N131HQ,N131HQ,N131HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2008,20080328,V,50077646,A07FA6,True,True,True
N950WN,N950WN,N950WN,BOEING,737-7H4,5,5,2010,20100805,V,53233250,AD36A8,True,True,True
N729SW,N729SW,N729SW,,,,,,,,,,False,False,False
259NV,259NV,N259NV,AIRBUS,A320-214,5,5,2009,20180924,V,50475055,A27A2D,True,True,True
N8317M,N8317M,N8317M,BOEING,737-8H4,5,5,2012,20120731,V,52657552,AB5F6A,True,True,True
N7823A,N7823A,N7823A,BOEING,737-7CT,5,5,2003,20150629,V,52515266,AA9AB6,True,True,True
N75426,N75426,N75426,BOEING,737-924ER,5,5,2008,20080724,V,52425642,AA2BA2,True,True,True
N972AN,N972AN,N972AN,BOEING,737-823,5,5,2001,20070828,V,53305440,AD8B20,True,True,True
N72405,N72405,N72405,BOEING,737-924,5,5,2001,20010807,V,52332336,A9B4DE,True,True,True
N101HQ,N101HQ,N101HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2007,20070228,V,50004451,A00929,True,True,True
N435WN,N435WN,N435WN,BOEING,737-7H4,5,5,2003,20030601,V,51233662,A537B2,True,True,True
N894DN,N894DN,N894DN,BOEING,737-900ER,5,5,2018,20180329,V,53052210,AC5488,True,True,True
N112HQ,N112HQ,N112HQ,EMBRAER,ERJ 170-200 LR,5,5,2007,20070720,V,50032137,A0345F,True,True,True
N73270,N73270,N73270,BOEING,737-824,5,5,2001,20011008,V,52352737,A9D5DF,True,True,True
N530AS,N530AS,N530AS,BOEING,737-890,5,5,2010,20100428,V,51530176,A6B07E,True,True,True
N703UW,N703UW,N703UW,AIRBUS INDUSTRIE,A319-112,5,5,1998,19981123,V,52260612,A9618A,True,True,True
N822DN,N822DN,N822DN,BOEING,737-932ER,5,5,2014,20140611,V,52634241,AB38A1,True,True,True
N944WN,N944WN,N944WN,BOEING,737-7H4,5,5,2010,20100322,V,53217005,AD1E05,True,True,True
N923WN,N923WN,N923WN,BOEING,737-7H4,5,5,2008,20080607,V,53145520,ACCB50,True,True,True
N7851A,N7851A,N7851A,,,,,,,,,,False,False,False
N62889,N62889,N62889,BOEING,737-924ER,5,5,2015,20150904,V,52033607,A83787,True,True,True
N871NN,N871NN,N871NN,BOEING,737-823,5,5,2011,20110805,V,52775506,ABFB46,True,True,True
N7749B,N7749B,N7749B,BOEING,737-7BD,5,5,2009,20090223,V,52475570,AA7B78,True,True,True
N853DN,N853DN,N853DN,BOEING,737-932ER,5,5,2016,20160217,V,52731325,ABB2D5,True,True,True
N929XJ,N929XJ,N929XJ,BOMBARDIER INC,CL-600-2D24,5,5,2008,20080729,V,53160657,ACE1AF,True,True,True
N69835,N69835,N69835,BOEING,737-924ER,5,5,2014,20141004,V,52245515,A94B4D,True,True,True
N752SK,N752SK,N752SK,BOMBARDIER INC,CL-600-2C10,5,5,2005,20050429,V,52421421,AA2311,True,True,True
N849DN,N849DN,N849DN,BOEING,737-932ER,5,5,2015,20151123,V,52720640,ABA1A0,True,True,True
N103HQ,N103HQ,N103HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2007,20070309,V,50010227,A01097,True,True,True
N8583Z,N8583Z,N8583Z,BOEING,737-800,5,5,2018,20180930,V,52743751,ABC7E9,True,True,True
N336NW,N336NW,N336NW,AIRBUS INDUSTRIE,A320-212,5,5,1992,19930111,V,50726532,A3AD5A,True,True,True
N7864B,N7864B,N7864B,BOEING,737-7Q8,5,5,2001,20171228,V,52524666,AAA9B6,True,True,True
N773XF,N773XF,N773XF,AIRBUS,A319-112,5,5,2003,20190227,V,52473077,AA763F,True,True,True
202NV,202NV,N202NV,AIRBUS,A320-214,5,5,2013,20220116,V,50315261,A19AB1,True,True,True
N8750Q,N8750Q,N8750Q,BOEING,737-8,5,5,2021,20210301,V,53005520,AC0B50,True,True,True
N839NN,N839NN,N839NN,BOEING,737-823,5,5,2010,20100520,V,52675402,AB7B02,True,True,True
N24211,N24211,N24211,BOEING,737-824,5,5,1998,19980726,V,50435002,A23A02,True,True,True
N295PQ,N295PQ,N295PQ,BOMBARDIER INC,CL-600-2D24,5,5,2013,20131030,V,50604541,A30961,True,True,True
N180US,N180US,N180US,AIRBUS INDUSTRIE,A321-211,5,5,2001,20010712,V,50241177,A1427F,True,True,True
N864NN,N864NN,N864NN,BOEING,737-823,5,5,2010,20101207,V,52757354,ABDEEC,True,True,True
N717FR,N717FR,N717FR,AIRBUS,A321-211,5,5,2017,20170215,V,52313233,A9969B,True,True,True
N257WN,N257WN,N257WN,BOEING,737-7H4,5,5,2006,20060923,V,50471600,A27380,True,True,True
N950AT,N950AT,N950AT,BOEING,717-200,5,5,2000,20000310,V,53232271,AD34B9,True,True,True
N354FR,N354FR,N354FR,AIRBUS,A320-251N,5,5,2019,20190628,V,50772066,A3F436,True,True,True
N832DN,N832DN,N832DN,BOEING,737-932ER,5,5,2015,20150122,V,52660040,AB6020,True,True,True
N67815,N67815,N67815,BOEING,737-924ER,5,5,2014,20140221,V,52176011,A8FC09,True,True,True
N344FR,N344FR,N344FR,AIRBUS,A320-251N,5,5,2018,20181213,V,50746267,A3CCB7,True,True,True
N459WN,N459WN,N459WN,BOEING,737-7H4,5,5,2004,20040429,V,51312614,A5958C,True,True,True
N773SA,N773SA,N773SA,,,,,,,,,,False,False,False
N330FR,N330FR,N330FR,AIRBUS,A320-251N,5,5,2018,20180424,V,50713134,A3965C,True,True,True
